Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","1996","1996","TJ","29.927","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","1997","1997","TJ","34.0564","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","1998","1998","TJ","34.1009","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","1999","1999","TJ","37.9024","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2000","2000","TJ","48.8577","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2001","2001","TJ","60.6329","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2002","2002","TJ","77","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2003","2003","TJ","77","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2004","2004","TJ","77","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2005","2005","TJ","162","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2006","2006","TJ","155","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2007","2007","TJ","539","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2008","2008","TJ","86","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2009","2009","TJ","77","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2010","2010","TJ","101","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2011","2011","TJ","13","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2012","2012","TJ","13","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2013","2013","TJ","12.8291","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2014","2014","TJ","12.7211","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2015","2015","TJ","12.869","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2016","2016","TJ","12.506","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2017","2017","TJ","12.0891","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2018","2018","TJ","12.6124","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2019","2019","TJ","11.6833","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2020","2020","TJ","10.1248","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2021","2021","TJ","10.1248","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6802","Natural gas","2022","2022","TJ","10.1248","I","Imputed value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1990","1990","kt","0.8798","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1991","1991","kt","0.9271","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1992","1992","kt","1.0024","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1993","1993","kt","1.1206","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1994","1994","kt","1.1843","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1995","1995","kt","1.3916","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1996","1996","kt","1.6789","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","7273","Emissions (CO2)","6802","Natural gas","1997","1997","kt","1.9106","E","Estimated value"
